hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
2565,0.944313449,1.148722608,1.148722608,0.944313449,0.944313449,0.944313449,0.883156877,0.883156877,0.944313449,0.944313449,0.944313449,0.842031813,0.842031813,1.011807724,1.066504994,0.999862129,0.883156877,0.873485861,0.842031813,1.066504994,1.066504994,1.066504994,1.011807724,0.999862129,0.999862129,0.999862129,0.873485861,0.999862129,0.999862129,1.148722608,0.999862129,0.999862129,0.842031813,0.842031813,0.842031813,0.842031813,1.066504994,0.922286884
2566,0.977302565,1.15833535,1.15833535,0.977302565,0.977302565,0.977302565,0.939830045,0.939830045,0.977302565,0.977302565,0.977302565,0.896607949,0.896607949,1.055170912,1.088094164,1.019661379,0.939830045,0.935247487,0.896607949,1.088094164,1.088094164,1.088094164,1.055170912,1.019661379,1.019661379,1.019661379,0.935247487,1.019661379,1.019661379,1.15833535,1.019661379,1.019661379,0.896607949,0.896607949,0.896607949,0.896607949,1.088094164,1.020733237
2567,0.977302565,1.15833535,1.15833535,0.977302565,0.977302565,0.977302565,0.996503214,0.996503214,0.977302565,0.977302565,0.977302565,0.931692608,0.931692608,1.084079704,1.1053655,1.049360254,0.996503214,0.913189763,0.931692608,1.1053655,1.1053655,1.1053655,1.084079704,1.049360254,1.049360254,1.049360254,0.913189763,1.049360254,1.049360254,1.15833535,1.049360254,1.049360254,0.931692608,0.931692608,0.931692608,0.931692608,1.1053655,1.031096011
2568,0.997920763,1.16314172,1.16314172,0.997920763,0.997920763,0.997920763,1.03900809,1.03900809,0.997920763,0.997920763,0.997920763,0.974573858,0.974573858,1.12262476,1.118319002,1.074109316,1.03900809,1.001420658,0.974573858,1.118319002,1.118319002,1.118319002,1.12262476,1.074109316,1.074109316,1.074109316,1.001420658,1.074109316,1.074109316,1.16314172,1.074109316,1.074109316,0.974573858,0.974573858,0.974573858,0.974573858,1.118319002,1.06736572
2569,1.0226626,1.182367203,1.182367203,1.0226626,1.0226626,1.0226626,1.076790203,1.076790203,1.0226626,1.0226626,1.0226626,1.009658516,1.009658516,1.156351684,1.135590338,1.059259879,1.076790203,1.06759383,1.009658516,1.135590338,1.135590338,1.135590338,1.156351684,1.059259879,1.059259879,1.059259879,1.06759383,1.059259879,1.059259879,1.182367203,1.059259879,1.059259879,1.009658516,1.009658516,1.009658516,1.009658516,1.135590338,1.025914624
2570,1.059775356,1.240043652,1.240043652,1.059775356,1.059775356,1.059775356,1.105126787,1.105126787,1.059775356,1.059775356,1.059775356,1.04084488,1.04084488,1.185260476,1.14854384,1.039460629,1.105126787,1.116120822,1.04084488,1.14854384,1.14854384,1.14854384,1.185260476,1.039460629,1.039460629,1.039460629,1.116120822,1.039460629,1.039460629,1.240043652,1.039460629,1.039460629,1.04084488,1.04084488,1.04084488,1.04084488,1.14854384,1.031096011
2571,1.047404437,1.206399057,1.206399057,1.047404437,1.047404437,1.047404437,1.133463371,1.133463371,1.047404437,1.047404437,1.047404437,1.060336357,1.060336357,1.223805532,1.12695467,1.064209691,1.133463371,1.15141318,1.060336357,1.12695467,1.12695467,1.12695467,1.223805532,1.064209691,1.064209691,1.064209691,1.15141318,1.064209691,1.064209691,1.206399057,1.064209691,1.064209691,1.060336357,1.060336357,1.060336357,1.060336357,1.12695467,1.020733237
2572,1.059775356,1.187173574,1.187173574,1.059775356,1.059775356,1.059775356,1.142908899,1.142908899,1.059775356,1.059775356,1.059775356,1.087624425,1.087624425,1.238259928,1.114001168,1.064209691,1.142908899,1.173470904,1.087624425,1.114001168,1.114001168,1.114001168,1.238259928,1.064209691,1.064209691,1.064209691,1.173470904,1.064209691,1.064209691,1.187173574,1.064209691,1.064209691,1.087624425,1.087624425,1.087624425,1.087624425,1.114001168,1.062184333
2573,1.068022635,1.196786316,1.196786316,1.068022635,1.068022635,1.068022635,1.147631663,1.147631663,1.068022635,1.068022635,1.068022635,1.099319311,1.099319311,1.252714324,1.114001168,1.049360254,1.147631663,1.182293993,1.099319311,1.114001168,1.114001168,1.114001168,1.252714324,1.049360254,1.049360254,1.049360254,1.182293993,1.049360254,1.049360254,1.196786316,1.049360254,1.049360254,1.099319311,1.099319311,1.099319311,1.099319311,1.114001168,1.051821559
2574,1.055651716,1.22562454,1.22562454,1.055651716,1.055651716,1.055651716,1.166522719,1.166522719,1.055651716,1.055651716,1.055651716,1.107115902,1.107115902,1.257532456,1.118319002,1.059259879,1.166522719,1.191117083,1.107115902,1.118319002,1.118319002,1.118319002,1.257532456,1.059259879,1.059259879,1.059259879,1.191117083,1.059259879,1.059259879,1.22562454,1.059259879,1.059259879,1.107115902,1.107115902,1.107115902,1.107115902,1.118319002,1.046640172
